,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1997-02-01,5.057142857142857,16.823214285714286,7.134352380952381,19.72298214285714,1.9649214802994432,2.9817845620240666,5.205837425513236,1.0
1997-03-01,2.840625,13.0359375,7.9991523809523795,20.963648809523807,2.079335583685533,3.0427899287257523,5.433736510576798,1.0
1997-04-01,4.04,15.076666666666666,9.214285714285712,22.55144880952381,2.220755074746413,3.115799312644195,5.797004225114206,1.0
1997-05-01,4.7250000000000005,13.184999999999999,10.105014880952378,23.723902976190473,2.3130318234870955,3.16648310427795,6.237166461773624,1.0
1997-06-01,4.441666666666666,12.975000000000001,11.082606547619047,25.064257142857137,2.405376901632729,3.2214428130473562,6.7737145896723305,1.0
1997-07-01,5.9453125,17.1421875,12.01013988095238,26.456190476190468,2.4857512830642308,3.275490175388623,7.4066486088103245,1.0
1997-08-01,11.715,29.913333333333334,12.418148214285713,27.393840476190473,2.5191589683108133,3.310318187983652,8.188016900456823,1.0
1997-09-01,12.924999999999999,33.925000000000004,12.870081547619048,28.31281964285714,2.5549053578442975,3.343314692993462,9.020148428156016,1.0
1997-10-01,8.7828125,22.262500000000003,13.313348214285714,28.91281964285714,2.5887671570669855,3.36428508302112,9.948665847094496,1.0
1997-11-01,3.98,14.955,14.36641488095238,30.021086309523806,2.664893182600246,3.4019000117439426,11.04532309852818,1.0
1997-12-01,7.22,26.361666666666665,15.999056547619045,31.878002976190466,2.772529754727422,3.4619162100587513,12.173038026027854,1.0
1998-01-01,11.9546875,29.109375,17.438769047619044,33.507911309523806,2.8586958338578623,3.511781569443241,13.39713884476682,1.0
1998-02-01,16.8625,33.285714285714285,19.029254761904763,35.12012559523809,2.945977519317105,3.5587743449347267,14.809085055987687,1.0
1998-03-01,24.496666666666663,40.223333333333336,20.767469047619045,36.94957202380952,3.033387774305953,3.6095540647509354,16.13449815596261,1.0
1998-04-01,34.34,52.285000000000004,22.51891071428571,38.88353452380952,3.1143554323985168,3.6605708839945037,17.647756648419445,1.0
1998-05-01,27.176562500000003,43.5296875,24.363510714285713,41.100467857142846,3.1930865504497206,3.7160195048228695,19.257401032115563,0.999
1998-06-01,28.736666666666665,45.41666666666667,26.50711071428571,43.37793452380952,3.277413025839402,3.7699508907061423,21.08059371262406,0.999
1998-07-01,28.183333333333334,48.693333333333335,29.20706904761904,45.84087202380952,3.374410770646903,3.825176095432559,22.889435604881374,0.999
1998-08-01,16.646875,42.23125,31.90285654761904,48.09005119047618,3.4626955527290155,3.873075319761373,24.794663388377984,0.998
1998-09-01,19.523333333333333,44.71666666666667,34.335856547619045,49.73991785714285,3.5361901885393694,3.9068077869292397,26.93314502867366,0.998
1998-10-01,20.72,40.190000000000005,36.38329404761904,51.26610535714285,3.594109714554994,3.9370298195231346,29.03757032073146,0.997
1998-11-01,34.29166666666667,50.016666666666666,38.68318154761904,53.35113869047618,3.655404920243321,3.9768953212964857,31.238381504028553,0.995
